Time stamp,Value ,Building Total Consumption (Cooling + Electrical),,Note: Insert null data at the start of every FY - 31 March 11:59:00,,
1/9/2021 0:00:00,677272.59,S1A Total All Building Consumption Report,,Sept 2021,,
1/10/2021 0:00:00,587758.95,S1A Total All Building Consumption Report,,Oct 2021,,
1/11/2021 0:00:00,552235.56,S1A Total All Building Consumption Report,,Nov 2021,,
1/12/2021 0:00:00,482030.55,S1A Total All Building Consumption Report,,Dec  2021,,
1/1/2022 0:00:00,459146.59,S1A Total All Building Consumption Report,,Jan 2022,,
1/2/2022 0:00:00,444714.08,S1A Total All Building Consumption Report,,Feb 2022,,
1/3/2022 0:00:00,470312.60,S1A Total All Building Consumption Report,,Mar 2022,,
1/4/2022 0:00:00,447149.40,S1A Total All Building Consumption Report,,Apr 2022,,
1/5/2022 0:00:00,490994.00,S1A Total All Building Consumption Report,,May 2022,,
1/6/2022 0:00:00,450512.40,S1A Total All Building Consumption Report,,June 2022,,
1/7/2022 0:00:00,478199.20,S1A Total All Building Consumption Report,,July 2022,,
1/8/2022 0:00:00,495227.20,S1A Total All Building Consumption Report,,Aug 2022,,
1/9/2022 0:00:00,496099.86,S1A Total All Building Consumption Report,,Sept 2022,,
1/10/2022 0:00:00,487308.89,S1A Total All Building Consumption Report,,Oct 2022,,
1/11/2022 0:00:00,491704.68,S1A Total All Building Consumption Report,,Nov 2022,,
1/12/2022 0:00:00,489506.48,S1A Total All Building Consumption Report,,Dec 2022,,
1/1/2023 0:00:00,490605.50,S1A Total All Building Consumption Report,,Jan 2023,,
1/2/2023 0:00:00,490056.07,S1A Total All Building Consumption Report,,Feb 2023,,
1/3/2023 0:00:00,490330.78,S1A Total All Building Consumption Report,,Mar 2023,,
1/4/2023 0:00:00,490193.42,S1A Total All Building Consumption Report,,Apr 2023,,
1/5/2023 0:00:00,393652.71,S1A Total All Building Consumption Report,,May 2023,,
1/6/2023 0:00:00,484215.25,S1A Total All Building Consumption Report,,June 2023,,
1/7/2023 0:00:00,589180.92,S1A Total All Building Consumption Report,,July 2023,,
1/8/2023 0:00:00,614788.74,S1A Total All Building Consumption Report,,Aug 2023,,
1/9/2023 0:00:00,592234.66,S1A Total All Building Consumption Report,,Sep 2023,,
1/10/2023 0:00:00,649587.16,S1A Total All Building Consumption Report,,Oct 2023,,
1/11/2023 0:00:00,573464.43,S1A Total All Building Consumption Report,,Nov 2023,,
1/12/2023 0:00:00,558713.79,S1A Total All Building Consumption Report,,Dec 2023,,
1/1/2024 0:00:00,569900.49,S1A Total All Building Consumption Report,,Jan 2024,,
1/2/2024 0:00:00,538835.04,S1A Total All Building Consumption Report,,Feb 2024,,
1/3/2024 0:00:00,589049.70,S1A Total All Building Consumption Report,,Mar 2024,,
1/4/2024 0:00:00,606991.14,S1A Total All Building Consumption Report,,Apr 2024,,
1/5/2024 0:00:00,631542.02,S1A Total All Building Consumption Report,,May 2024,,
1/6/2024 0:00:00,592693.93,S1A Total All Building Consumption Report,,June 2024,,
1/7/2024 0:00:00,624090.94,S1A Total All Building Consumption Report,,July 2024,,
1/8/2024 0:00:00,612458.85,S1A Total All Building Consumption Report,,Aug 2024,,
1/9/2024 0:00:00,594285.15,S1A Total All Building Consumption Report,,Sep 2024,,
1/10/2024 0:00:00,591291.76,S1A Total All Building Consumption Report,,Oct 2024,,
1/11/2024 0:00:00,541157.65,S1A Total All Building Consumption Report,,Nov 2024,,
1/12/2024 0:00:00,528265.52,S1A Total All Building Consumption Report,,Dec 2024,,
1/4/2021 0:00:00,1387207.02,S9 Total All Building Consumption Report,,Apr 2021,,
1/5/2021 0:00:00,1387207.02,S9 Total All Building Consumption Report,,May 2021,,
1/6/2021 0:00:00,1387207.02,S9 Total All Building Consumption Report,,June 2021,,
1/7/2021 0:00:00,1387207.02,S9 Total All Building Consumption Report,,July 2021,,
1/8/2021 0:00:00,1387207.02,S9 Total All Building Consumption Report,,Aug 2021,,
1/9/2021 0:00:00,1387207.02,S9 Total All Building Consumption Report,,Sept 2021,,
1/10/2021 0:00:00,1387207.02,S9 Total All Building Consumption Report,,Oct 2021,,
1/11/2021 0:00:00,1387207.02,S9 Total All Building Consumption Report,,Nov 2021,,
1/12/2021 0:00:00,1387207.02,S9 Total All Building Consumption Report,,Dec  2021,,
1/1/2022 0:00:00,1417320.037,S9 Total All Building Consumption Report,,Jan 2022,,
1/2/2022 0:00:00,1352648.214,S9 Total All Building Consumption Report,,Feb 2022,,
1/3/2022 0:00:00,1391652.811,S9 Total All Building Consumption Report,,Mar 2022,,
1/4/2022 0:00:00,1411120.102,S9 Total All Building Consumption Report,,Apr 2022,,
1/5/2022 0:00:00,1411120.102,S9 Total All Building Consumption Report,,May 2022,,
1/6/2022 0:00:00,1411120.102,S9 Total All Building Consumption Report,,June 2022,,
1/7/2022 0:00:00,1411120.102,S9 Total All Building Consumption Report,,July 2022,,
1/8/2022 0:00:00,1411120.102,S9 Total All Building Consumption Report,,Aug 2022,,
1/9/2022 0:00:00,1411120.102,S9 Total All Building Consumption Report,,Sept 2022,,
1/10/2022 0:00:00,1411120.102,S9 Total All Building Consumption Report,,Oct 2022,,
1/11/2022 0:00:00,1411120.102,S9 Total All Building Consumption Report,,Nov 2022,,
1/12/2022 0:00:00,1411120.102,S9 Total All Building Consumption Report,,Dec 2022,,
1/1/2023 0:00:00,1433581.598,S9 Total All Building Consumption Report,,Jan 2023,,
1/2/2023 0:00:00,1367456.402,S9 Total All Building Consumption Report,,Feb 2023,,
1/3/2023 0:00:00,1407407.972,S9 Total All Building Consumption Report,,Mar 2023,,
1/4/2023 0:00:00,1169600.74,S9 Total All Building Consumption Report,,Apr 2023,,
1/5/2023 0:00:00,1705873.656,S9 Total All Building Consumption Report,,May 2023,,
1/6/2023 0:00:00,1470650.454,S9 Total All Building Consumption Report,,June 2023,,
1/7/2023 0:00:00,1559242.468,S9 Total All Building Consumption Report,,July 2023,,
1/8/2023 0:00:00,1489964.26,S9 Total All Building Consumption Report,,Aug 2023,,
1/9/2023 0:00:00,1443410.192,S9 Total All Building Consumption Report,,Sep 2023,,
1/10/2023 0:00:00,1626019.892,S9 Total All Building Consumption Report,,Oct 2023,,
1/11/2023 0:00:00,1700106.336,S9 Total All Building Consumption Report,,Nov 2023,,
1/12/2023 0:00:00,1529742.06,S9 Total All Building Consumption Report,,Dec 2023,,
1/1/2024 0:00:00,1459348.684,S9 Total All Building Consumption Report,,Jan 2024,,
1/2/2024 0:00:00,1454243.444,S9 Total All Building Consumption Report,,Feb 2024,,
1/3/2024 0:00:00,1502276.021,S9 Total All Building Consumption Report,,Mar 2024,,
1/4/2024 0:00:00,1719648.32,S9 Total All Building Consumption Report,,Apr 2024,,
1/5/2024 0:00:00,1940907.584,S9 Total All Building Consumption Report,,May 2024,,
1/6/2024 0:00:00,1756979.816,S9 Total All Building Consumption Report,,June 2024,,
1/7/2024 0:00:00,1718914.166,S9 Total All Building Consumption Report,,July 2024,,
1/8/2024 0:00:00,1530594.977,S9 Total All Building Consumption Report,,Aug 2024,,
1/9/2024 0:00:00,1528366.458,S9 Total All Building Consumption Report,,Sep 2024,,
1/10/2024 0:00:00,1664616.201,S9 Total All Building Consumption Report,,Oct 2024,,
1/11/2024 0:00:00,1717117.111,S9 Total All Building Consumption Report,,Nov 2024,,
1/12/2024 0:00:00,1554183.821,S9 Total All Building Consumption Report,,Dec 2024,,
1/4/2021 0:00:00,957877.32,T-Lab Total All Building Consumption Report,,Apr 2021,,
1/5/2021 0:00:00,994871.25,T-Lab Total All Building Consumption Report,,May 2021,,
1/6/2021 0:00:00,966098.92,T-Lab Total All Building Consumption Report,,June 2021,,
1/7/2021 0:00:00,982637.25,T-Lab Total All Building Consumption Report,,July 2021,,
1/8/2021 0:00:00,973011.76,T-Lab Total All Building Consumption Report,,Aug 2021,,
1/9/2021 0:00:00,936095.59,T-Lab Total All Building Consumption Report,,Sept 2021,,
1/10/2021 0:00:00,987270.14,T-Lab Total All Building Consumption Report,,Oct 2021,,
1/11/2021 0:00:00,941183.69,T-Lab Total All Building Consumption Report,,Nov 2021,,
1/12/2021 0:00:00,963078.68,T-Lab Total All Building Consumption Report,,Dec  2021,,
1/1/2022 0:00:00,917901.64,T-Lab Total All Building Consumption Report,,Jan 2022,,
1/2/2022 0:00:00,919126.71,T-Lab Total All Building Consumption Report,,Feb 2022,,
1/3/2022 0:00:00,920351.78,T-Lab Total All Building Consumption Report,,Mar 2022,,
1/4/2022 0:00:00,930127.47,T-Lab Total All Building Consumption Report,,Apr 2022,,
1/5/2022 0:00:00,970035.46,T-Lab Total All Building Consumption Report,,May 2022,,
1/6/2022 0:00:00,895522.46,T-Lab Total All Building Consumption Report,,June 2022,,
1/7/2022 0:00:00,944989.54,T-Lab Total All Building Consumption Report,,July 2022,,
1/8/2022 0:00:00,940013.06,T-Lab Total All Building Consumption Report,,Aug 2022,,
1/9/2022 0:00:00,930585.53,T-Lab Total All Building Consumption Report,,Sept 2022,,
1/10/2022 0:00:00,931189.73,T-Lab Total All Building Consumption Report,,Oct 2022,,
1/11/2022 0:00:00,914066.09,T-Lab Total All Building Consumption Report,,Nov 2022,,
1/12/2022 0:00:00,922850.55,T-Lab Total All Building Consumption Report,,Dec 2022,,
1/1/2023 0:00:00,918972.69,T-Lab Total All Building Consumption Report,,Jan 2023,,
1/2/2023 0:00:00,834668.71,T-Lab Total All Building Consumption Report,,Feb 2023,,
1/3/2023 0:00:00,936215.57,T-Lab Total All Building Consumption Report,,Mar 2023,,
1/4/2023 0:00:00,899963.46,T-Lab Total All Building Consumption Report,,Apr 2023,,
1/5/2023 0:00:00,946478.58,T-Lab Total All Building Consumption Report,,May 2023,,
1/6/2023 0:00:00,910676.22,T-Lab Total All Building Consumption Report,,June 2023,,
1/7/2023 0:00:00,934792.93,T-Lab Total All Building Consumption Report,,July 2023,,
1/8/2023 0:00:00,935809.18,T-Lab Total All Building Consumption Report,,Aug 2023,,
1/9/2023 0:00:00,909443.78,T-Lab Total All Building Consumption Report,,Sep 2023,,
1/10/2023 0:00:00,953899.74,T-Lab Total All Building Consumption Report,,Oct 2023,,
1/11/2023 0:00:00,926552.18,T-Lab Total All Building Consumption Report,,Nov 2023,,
1/12/2023 0:00:00,956222.30,T-Lab Total All Building Consumption Report,,Dec 2023,,
1/1/2024 0:00:00,947869.47,T-Lab Total All Building Consumption Report,,Jan 2024,,
1/2/2024 0:00:00,843675.38,T-Lab Total All Building Consumption Report,,Feb 2024,,
1/3/2024 0:00:00,908392.86,T-Lab Total All Building Consumption Report,,Mar 2024,,
1/4/2024 0:00:00,895840.17,T-Lab Total All Building Consumption Report,,Apr 2024,,
1/5/2024 0:00:00,937812.87,T-Lab Total All Building Consumption Report,,May 2024,,
1/6/2024 0:00:00,920277.86,T-Lab Total All Building Consumption Report,,June 2024,,
1/7/2024 0:00:00,947323.78,T-Lab Total All Building Consumption Report,,July 2024,,
1/8/2024 0:00:00,945520.06,T-Lab Total All Building Consumption Report,,Aug 2024,,
1/9/2024 0:00:00,918985.95,T-Lab Total All Building Consumption Report,,Sep 2024,,
1/10/2024 0:00:00,955107.94,T-Lab Total All Building Consumption Report,,Oct 2024,,
1/11/2024 0:00:00,895352.34,T-Lab Total All Building Consumption Report,,Nov 2024,,
1/12/2024 0:00:00,943873.91,T-Lab Total All Building Consumption Report,,Dec 2024,,
